image_id,chain_type,condition,instruction,pre_clip_score,post_clip_score,adherence_gain
000000530470.jpg,object_level,baseline,add a dog running on the grass near the trees,0.23028381662459935,0.28281910740031074,0.052535290775711396
000000530470.jpg,object_level,region_locking,add a dog running on the grass near the trees,0.23028381662459935,0.22871953354585642,-0.0015642830787429285
000000530470.jpg,object_level,masked_conditioning,add a dog running on the grass near the trees,0.23028381662459935,0.25673459679968924,0.026450780175089894
000000530470.jpg,global,baseline,add light snow falling,0.2010500304506298,0.2291808507505977,0.028130820299967885
000000530470.jpg,global,region_locking,add light snow falling,0.2010500304506298,0.21045794839058315,0.009407917939953353
000000530470.jpg,global,masked_conditioning,add light snow falling,0.2010500304506298,0.21154423193154015,0.010494201480910348
000000157807.jpg,object_level,baseline,remove the cat's tail,0.2647690339410025,0.21416599044095092,-0.05060304350005157
000000157807.jpg,object_level,region_locking,remove the cat's tail,0.2647690339410025,0.26977924756512,0.005010213624117521
000000157807.jpg,object_level,masked_conditioning,remove the cat's tail,0.2647690339410025,0.26669390451885433,0.001924870577851845
000000157807.jpg,global,baseline,make it look like an old vintage photograph,0.20200136726767634,0.2692247294237978,0.06722336215612149
000000157807.jpg,global,region_locking,make it look like an old vintage photograph,0.20200136726767634,0.2156344092403355,0.01363304197265916
000000157807.jpg,global,masked_conditioning,make it look like an old vintage photograph,0.20200136726767634,0.20326329248662936,0.0012619252189530195
000000260106.jpg,object_level,baseline,remove the striped poles in front of the horse,0.2478283735021516,0.22282086130396322,-0.025007512198188364
000000260106.jpg,object_level,region_locking,remove the striped poles in front of the horse,0.2478283735021516,0.25519009132001835,0.007361717817866764
000000260106.jpg,object_level,masked_conditioning,remove the striped poles in front of the horse,0.2478283735021516,0.255843433927297,0.008015060425145437
000000260106.jpg,global,baseline,make it look like a painting,0.19584052695818654,0.23924908766787142,0.04340856070968488
000000260106.jpg,global,region_locking,make it look like a painting,0.19584052695818654,0.19801270366944418,0.002172176711257634
